timestamp,market_slug,side,entry_price,shares,outcome,pnl_usd
2026-04-19 16:58:34,btc-updown-5m-1776635700,DOWN,0.7,7,Up,-4.9
2026-04-19 16:59:39,btc-updown-5m-1776635700,DOWN,0.04,125,Up,-5.0
2026-04-19 16:59:42,btc-updown-5m-1776635700,DOWN,0.05,100,Up,-5.0
2026-04-19 16:59:45,btc-updown-5m-1776635700,DOWN,0.2,25,Up,-5.0
2026-04-19 16:59:48,btc-updown-5m-1776635700,DOWN,0.25,20,Up,-5.0
2026-04-19 16:59:51,btc-updown-5m-1776635700,DOWN,0.22,22,Up,-4.84
2026-04-19 16:59:54,btc-updown-5m-1776635700,DOWN,0.17,29,Up,-4.93
2026-04-19 16:59:57,btc-updown-5m-1776635700,DOWN,0.08,62,Up,-4.96
2026-04-19 17:03:31,btc-updown-5m-1776636000,DOWN,0.96,5,Down,0.2
2026-04-19 17:08:43,btc-updown-5m-1776636300,UP,0.96,5,Up,0.2
2026-04-19 17:13:32,btc-updown-5m-1776636600,DOWN,0.97,5,Down,0.15
2026-04-19 17:18:40,btc-updown-5m-1776636900,UP,0.73,6,Up,1.62
2026-04-19 17:19:37,btc-updown-5m-1776636900,UP,0.85,5,Up,0.75
2026-04-19 17:19:40,btc-updown-5m-1776636900,UP,0.89,5,Up,0.55
2026-04-19 17:19:43,btc-updown-5m-1776636900,UP,0.86,5,Up,0.7
2026-04-19 17:19:46,btc-updown-5m-1776636900,UP,0.95,5,Up,0.25
2026-04-19 17:19:49,btc-updown-5m-1776636900,UP,0.97,5,Up,0.15
2026-04-19 17:19:52,btc-updown-5m-1776636900,UP,0.97,5,Up,0.15
2026-04-19 17:19:55,btc-updown-5m-1776636900,UP,0.97,5,Up,0.15
2026-04-19 17:28:31,btc-updown-5m-1776637500,UP,0.93,5,Up,0.35
2026-04-19 17:29:48,btc-updown-5m-1776637500,UP,0.96,5,Up,0.2
2026-04-19 17:29:51,btc-updown-5m-1776637500,UP,0.97,5,Up,0.15
2026-04-19 17:33:31,btc-updown-5m-1776637800,UP,0.97,5,Up,0.15
2026-04-19 17:38:32,btc-updown-5m-1776638100,UP,0.88,5,Up,0.6
2026-04-19 17:39:44,btc-updown-5m-1776638100,UP,0.95,5,Up,0.25
2026-04-19 17:39:47,btc-updown-5m-1776638100,UP,0.97,5,Up,0.15
2026-04-19 17:43:35,btc-updown-5m-1776638400,UP,0.74,6,Up,1.56
2026-04-19 17:44:36,btc-updown-5m-1776638400,UP,0.77,6,Up,1.38
2026-04-19 17:44:39,btc-updown-5m-1776638400,UP,0.86,5,Up,0.7
2026-04-19 17:44:42,btc-updown-5m-1776638400,UP,0.91,5,Up,0.45
2026-04-19 17:44:45,btc-updown-5m-1776638400,UP,0.91,5,Up,0.45
2026-04-19 17:44:48,btc-updown-5m-1776638400,UP,0.94,5,Up,0.3
